City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Novaya Igirma,RU,57.1334,103.9112,23.27,97,100,8.52,light snow
319,Sabla,NG,12.7525,4.7077,88.09,13,100,8.39,overcast clouds
320,Kaduqli,SD,11.0167,29.7167,84.27,14,11,10.45,few clouds
321,Mbarara,UG,-0.608,30.65,68.14,75,65,3.91,broken clouds
322,Lourdes,FR,43.1,-0.05,46.4,76,90,3.44,overcast clouds
323,Constitucion,CL,-35.3333,-72.4167,67.44,66,12,5.35,few clouds
324,Northam,GB,51.0333,-4.2167,39.0,79,0,4.0,clear sky
325,Westport,US,41.1415,-73.3579,33.01,40,90,16.11,overcast clouds
326,Singleton,AU,-32.5667,151.1833,55.99,80,67,1.99,broken clouds
327,Rundu,NA,-17.9333,19.7667,72.84,55,69,3.18,broken clouds
328,Kismayo,SO,-0.3582,42.5454,78.53,80,11,18.01,few clouds
329,Umm Lajj,SA,25.0213,37.2685,75.38,50,0,11.41,clear sky
330,Tall Kayf,TR,37.0833,41.0667,53.6,66,0,4.61,clear sky
331,Moindou,NC,-21.6924,165.677,69.8,100,75,3.44,broken clouds
332,Araouane,ML,18.9048,-3.5265,87.78,13,53,8.48,broken clouds
333,Pevek,RU,69.7008,170.3133,-13.29,90,100,9.13,overcast clouds
334,Yarovoye,RU,52.9273,78.58,28.29,98,100,14.61,light snow
335,Belaya Gora,RU,68.5333,146.4167,-14.06,89,100,14.83,light snow
336,Laguna,US,38.421,-121.4238,55.99,66,40,4.61,scattered clouds
337,Kambarka,RU,56.2694,54.2062,2.46,93,58,4.52,broken clouds
338,Katherine,AU,-14.4667,132.2667,77.0,83,7,6.91,clear sky
339,Colares,PT,38.7992,-9.4469,60.01,72,20,12.66,few clouds
340,Shellbrook,CA,53.2168,-106.4011,39.2,70,75,9.22,broken clouds
341,Vardo,NO,70.3705,31.1107,26.82,94,100,18.23,overcast clouds
342,Kargasok,RU,59.0556,80.8572,24.26,98,100,14.54,snow
343,Linxia,CN,35.6003,103.2064,36.54,74,98,1.66,overcast clouds
344,Khorol,UA,49.7837,33.2783,27.55,93,84,9.91,broken clouds
345,Fecamp,FR,49.7579,0.3746,39.2,65,0,11.5,clear sky
346,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.2,63,20,23.02,few clouds
