City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Faanui,PF,3/2/21 22:57,-16.4833,-151.75,82.47,77,48,11.05
263,Petropavlovka,RU,3/2/21 22:57,50.6114,105.3196,10.45,87,10,4.23
264,Izumo,JP,3/2/21 22:57,35.3667,132.7667,39.2,60,75,12.66
265,Mogoytuy,RU,3/2/21 22:57,51.2833,114.9167,-6.97,91,65,0.16
266,Palmas,BR,3/2/21 22:57,-10.2128,-48.3603,77,94,20,4.61
267,Santa Maria,BR,3/2/21 22:57,-29.6842,-53.8069,78.8,83,20,1.14
268,Saint-Francois,FR,3/2/21 22:57,46.4154,3.9054,46,75,0,2.3
269,Sobolevo,RU,3/2/21 22:57,54.4299,31.8996,32.29,93,66,12.48
270,Lahaina,US,3/2/21 22:57,20.8783,-156.6825,78.8,60,40,20.71
271,Lovington,US,3/2/21 22:57,32.944,-103.3485,59,15,0,5.01
272,Baruun-Urt,MN,3/2/21 22:54,46.6806,113.2792,13.66,92,65,11.32
273,Auka,HN,3/2/21 22:57,14.9333,-83.8333,84.2,79,20,11.5
274,Mungwi,ZM,3/2/21 22:57,-10.1732,31.3694,63.43,98,100,2.59
275,Ambon,ID,3/2/21 22:57,-3.6954,128.1814,80.6,74,40,3.44
276,Vardo,NO,3/2/21 22:57,70.3705,31.1107,26.6,73,20,9.22
277,Kunya,NG,3/2/21 22:57,12.2233,8.5325,69.8,35,55,3.44
278,Ostroleka,PL,3/2/21 22:57,53.0862,21.5757,36,79,0,1.99
279,Haines Junction,CA,3/2/21 22:57,60.7522,-137.5108,35.6,30,100,3.44
280,Russell,US,3/2/21 22:53,32.3502,-85.1999,46.4,87,90,3.44
281,Nokaneng,BW,3/2/21 22:57,-19.6667,22.2667,64.72,88,49,5.73
282,Tungor,RU,3/2/21 22:57,53.3808,142.9564,-11.43,82,14,9.24
283,Shihezi,CN,3/2/21 22:57,44.3,86.0333,17.08,78,14,2.8
284,Yambio,SS,3/2/21 22:54,4.5721,28.3955,72.63,27,100,2.82
285,Emba,KZ,3/2/21 22:57,48.8264,58.1442,18.61,98,96,13.89
286,Naze,JP,3/2/21 22:57,28.3667,129.4833,60.8,67,75,20.71
287,Aripuana,BR,3/2/21 22:52,-9.1667,-60.6333,72.25,98,95,2.48
288,Pevek,RU,3/2/21 22:52,69.7008,170.3133,-27.15,85,11,4.07
289,Mahanoro,MG,3/2/21 22:57,-19.9,48.8,75.63,82,54,4.52
290,Puerto Escondido,MX,3/2/21 22:57,15.85,-97.0667,82.4,69,40,11.5
291,Ligayan,PH,3/2/21 22:57,4.6533,119.4706,82.11,80,99,11.83
292,Maceio,BR,3/2/21 22:56,-9.6658,-35.7353,77,88,75,11.5
293,Rudnogorsk,RU,3/2/21 22:57,57.2639,103.7519,-26,98,95,3
294,Xiamen,CN,3/2/21 22:57,24.4798,118.0819,57.2,58,20,13.42
295,Balad,IQ,3/2/21 22:57,34.0164,44.1453,58.96,38,0,3.24
296,Dalbandin,PK,3/2/21 22:57,28.8947,64.4101,61.02,31,15,4.99
297,Sampit,ID,3/2/21 22:52,-2.5333,112.95,74.23,97,100,4.16
298,Mirnyy,RU,3/2/21 22:57,62.5353,113.9611,-36.87,83,78,3.09
299,Cap Malheureux,MU,3/2/21 22:57,-19.9842,57.6142,75.99,84,4,16.69
300,Meulaboh,ID,3/2/21 22:57,4.1363,96.1285,76.23,86,59,4.41
301,Hirara,JP,3/2/21 22:55,24.8,125.2833,66.2,63,75,10.36
302,Coffs Harbour,AU,3/2/21 22:57,-30.3,153.1333,71.6,83,90,5.75
303,Kathmandu,NP,3/2/21 22:54,27.7167,85.3167,48.2,76,20,2.39
304,Valparaiso,CL,3/2/21 22:57,-33.0393,-71.6273,64.4,77,40,6.91
305,Biltine,TD,3/2/21 22:57,14.5333,20.9167,73.27,18,0,17.92
306,Karratha,AU,3/2/21 22:57,-20.7377,116.8463,80.98,78,43,4.94
307,Touros,BR,3/2/21 22:57,-5.1989,-35.4608,78.8,83,40,4.61
308,Dzilam Gonzalez,MX,3/2/21 22:57,21.2833,-88.9333,81.88,60,23,7.65
